timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1735760700000,94447.77000000,94823.75000000,94394.31000000,94742.42000000,151.12384000,1735760999999,14301791.19711920,20077,101.47125000,9602572.15961460,0
1735761000000,94742.43000000,94803.03000000,94600.19000000,94607.12000000,55.55136000,1735761299999,5261004.96724660,10551,26.22114000,2483637.05743070,0
1735761300000,94607.13000000,94658.04000000,94525.15000000,94627.07000000,94.79215000,1735761599999,8965531.04713520,7912,30.87356000,2920081.86073900,0
1735761600000,94627.08000000,94793.77000000,94627.07000000,94772.00000000,40.42484000,1735761899999,3828125.18951970,5113,22.41434000,2122808.71114360,0
1735761900000,94772.00000000,94785.09000000,94704.40000000,94718.05000000,37.67095000,1735762199999,3569008.94981680,4247,10.37739000,983106.81603960,0
1735762200000,94718.05000000,94725.16000000,94662.99000000,94696.79000000,24.22590000,1735762499999,2294107.94767270,3474,5.08186000,481207.90398660,0
1735762500000,94696.79000000,94836.00000000,94624.37000000,94624.38000000,69.12151000,1735762799999,6549623.40629190,6991,31.29579000,2965831.54226230,0
1735762800000,94624.37000000,94666.42000000,94579.83000000,94608.50000000,27.68055000,1735763099999,2619341.05597240,4292,8.79651000,832290.75142080,0
1735763100000,94608.51000000,94722.65000000,94608.50000000,94711.84000000,22.27581000,1735763399999,2108529.57867080,3428,10.70512000,1013316.30589190,0
1735763400000,94711.84000000,94797.17000000,94700.05000000,94708.00000000,38.88734000,1735763699999,3684581.85395900,6866,18.70459000,1772119.75868450,0
1735763700000,94708.00000000,94756.91000000,94644.15000000,94644.98000000,20.32473000,1735763999999,1924701.52699780,4275,6.74377000,638573.94389500,0
1735764000000,94644.98000000,94774.42000000,94644.97000000,94724.02000000,28.71454000,1735764299999,2719575.57445780,6199,16.17413000,1531761.35946680,0
1735764300000,94724.02000000,94847.98000000,94716.43000000,94847.98000000,32.40022000,1735764599999,3070510.70022820,7295,17.78685000,1685604.82596270,0
1735764600000,94847.97000000,94852.06000000,94785.05000000,94847.03000000,40.68282000,1735764899999,3858196.72926820,3886,31.68881000,3005249.13949650,0
1735764900000,94847.04000000,94852.70000000,94771.02000000,94786.23000000,42.01547000,1735765199999,3983803.97422130,3175,12.17529000,1154391.39342440,0
1735765200000,94786.23000000,94917.87000000,94781.08000000,94880.06000000,75.09573000,1735765499999,7125354.47774660,8285,53.36538000,5063437.81924480,0
1735765500000,94880.39000000,94880.39000000,94750.01000000,94750.01000000,36.17293000,1735765799999,3429379.61515380,5616,20.55077000,1948302.05773360,0
