timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1698105600000,33069.99000000,35280.00000000,32832.34000000,34151.66000000,209896.71202000,1698364799999,7184483600.87669910,5876921,102088.25419000,3495233723.33123780,0
1698364800000,34151.66000000,34750.11000000,33390.95000000,34525.89000000,69896.05426000,1698623999999,2384478931.94629140,2437158,32677.59284000,1114995999.30761000,0
1698624000000,34525.88000000,35582.00000000,34025.00000000,35421.43000000,119869.13963000,1698883199999,4141563172.61004720,3921415,56860.36571000,1965272985.50163400,0
1698883200000,35421.43000000,35984.99000000,34120.00000000,35062.07000000,105464.33921000,1699142399999,3674063128.07786860,3482997,51701.37668000,1801021641.64715910,0
1699142400000,35062.06000000,35888.00000000,34448.00000000,35399.12000000,85563.94154000,1699401599999,2999810037.46466250,3379510,42015.87788000,1473420366.71303490,0
1699401600000,35399.13000000,37972.24000000,35100.00000000,37301.63000000,159353.27920000,1699660799999,5823979257.79951270,4569062,80738.20565000,2951241435.19344440,0
1699660800000,37301.63000000,37417.99000000,36333.00000000,36462.93000000,73470.34361000,1699919999999,2715532888.17635820,2951376,34677.56355000,1281875142.12398510,0
1699920000000,36462.93000000,37980.00000000,34800.00000000,36163.51000000,146563.21367000,1700179199999,5346883780.61145640,4492301,71561.37783000,2611443700.00742560,0
1700179200000,36163.51000000,37500.00000000,35861.10000000,37359.86000000,76632.19946000,1700438399999,2797190960.15514980,2996220,37080.16460000,1353750857.37812080,0
1700438400000,37359.85000000,37861.10000000,35632.01000000,37408.34000000,128720.55792000,1700697599999,4757611160.79567770,5070319,63009.35894000,2328311461.62353190,0
1700697600000,37408.35000000,38414.00000000,36870.00000000,37780.67000000,79904.87992000,1700956799999,3007707628.69427030,2941146,38589.43484000,1452878646.86209700,0
1700956800000,37780.67000000,38377.00000000,36707.00000000,37818.87000000,88810.07766000,1701215999999,3324238880.54853690,3358816,42831.71661000,1603214640.55179410,0
1701216000000,37818.88000000,38999.00000000,37500.00000000,38682.52000000,101150.14578000,1701475199999,3856828342.24738560,3662561,49481.69198000,1887668098.14215540,0
1701475200000,38682.51000000,42420.00000000,38641.61000000,41991.10000000,132679.90555000,1701734399999,5389019461.95639040,4298433,65095.56923000,2643733776.82928680,0
1701734400000,41991.10000000,44488.00000000,41414.00000000,43273.14000000,166025.11981000,1701993599999,7194130746.96857590,5363741,82544.10977000,3576716986.81925910,0
1701993600000,43273.15000000,44700.00000000,43081.10000000,43789.51000000,86782.96322000,1702252799999,3802554024.56869780,3129287,41258.59278000,1807989332.14464320,0
1702252800000,43789.50000000,43804.50000000,40222.00000000,42869.03000000,165252.59350000,1702511999999,6899205509.33387790,5338212,80249.12813000,3349866673.06622370,0
1702512000000,42869.03000000,43420.00000000,41400.00000000,42278.03000000,99587.70776000,1702771199999,4236109191.69737200,4104050,49094.43508000,2087979088.04019350,0
1702771200000,42278.02000000,43497.00000000,40542.93000000,42275.99000000,115384.07146000,1703030399999,4845797191.50696270,4578469,56665.32221000,2380167563.01210660,0
1703030400000,42275.99000000,44398.26000000,42206.00000000,43969.04000000,116117.78492000,1703289599999,5066418286.48025840,4839399,57020.25502000,2488159597.58469990,0
1703289600000,43969.04000000,43988.68000000,42500.00000000,43576.13000000,68722.70418000,1703548799999,2988457846.73362180,3155764,33297.81108000,1447909424.14920050,0
1703548800000,43576.12000000,43787.57000000,41637.60000000,42563.76000000,112351.77903000,1703807999999,4808825344.73530210,4307412,57501.81811000,2461138950.91074590,0
1703808000000,42563.76000000,43111.00000000,41300.00000000,42283.58000000,89089.68333000,1704067199999,3769481317.78741790,3524166,44920.18641000,1900937355.44858740,0
1704067200000,42283.58000000,45879.63000000,40750.00000000,42845.23000000,173515.25737000,1704326399999,7621432067.59530970,6020196,87252.86789000,3832981421.74941860,0
1704326400000,42845.23000000,44729.58000000,42450.00000000,43968.32000000,113948.37805000,1704585599999,4977262167.35395640,4841431,56669.53558000,2476072074.34290000,0
1704585600000,43968.32000000,47972.00000000,43175.00000000,46110.00000000,165766.09286000,1704844799999,7564849319.61405190,6111468,85167.78306000,3887334441.53027920,0
1704844800000,46110.00000000,48969.48000000,41500.00000000,42782.73000000,263709.67870000,1705103999999,12056432822.31712610,8941231,132694.54335000,6074435519.98998650,0
1705104000000,42782.74000000,43400.43000000,41718.05000000,42511.10000000,104616.77661000,1705363199999,4468566304.91896190,4327581,51363.16697000,2193691289.07161410,0
1705363200000,42511.10000000,43578.01000000,40683.28000000,41327.50000000,122219.47618000,1705622399999,5191262122.24553840,4620839,61797.90532000,2625350844.18915010,0
1705622400000,41327.51000000,42196.86000000,40280.00000000,41580.33000000,75996.90353000,1705881599999,3145766045.72059050,3106569,37481.42697000,1551566070.53550200,0
1705881600000,41580.32000000,41689.65000000,38555.00000000,40084.88000000,152676.66123000,1706140799999,6093009068.27300880,5866790,78375.16887000,3126955101.23788690,0
1706140800000,40084.89000000,42246.82000000,39550.00000000,42120.63000000,94631.50246000,1706399999999,3868932657.79336520,3667242,47845.65448000,1955413099.33854200,0
1706400000000,42120.63000000,43882.36000000,41620.81000000,42941.10000000,96456.98591000,1706659199999,4131079257.70148670,3546959,48285.37440000,2069051468.45358210,0
1706659200000,42941.10000000,43745.11000000,41884.28000000,43200.00000000,104774.32770000,1706918399999,4486706454.98764570,3978170,54070.36239000,2315480050.40222440,0
1706918400000,43199.99000000,43569.76000000,42222.00000000,42708.70000000,58568.06307000,1707177599999,2512395548.28268640,2858594,29102.98205000,1248383619.15309470,0
1707177600000,42708.70000000,45614.30000000,42574.00000000,45288.65000000,104508.07579000,1707436799999,4599975403.13496510,4363219,53298.38340000,2345551335.98564300,0
1707436800000,45288.66000000,48592.66000000,45242.12000000,48299.99000000,128264.64873000,1707695999999,6072437569.88465740,5054575,65843.04625000,3117689120.85385890,0
1707696000000,48300.00000000,52043.71000000,47710.01000000,51795.17000000,171607.90812000,1707955199999,8562850689.80894010,5540597,88871.74526000,4434811755.70445820,0
1707955200000,51795.17000000,52816.62000000,50625.00000000,51642.64000000,117262.28995000,1708214399999,6087738146.94243870,4798053,57688.00137000,2995105984.64592010,0
1708214400000,51642.64000000,52985.00000000,50760.37000000,52258.82000000,101141.57113000,1708473599999,5253685109.41295290,4890324,51541.95958000,2677602736.76358910,0
1708473600000,52258.82000000,52366.80000000,50521.00000000,50744.15000000,108934.64167000,1708732799999,5590371572.71324510,5000083,54681.00929000,2806325856.12016020,0
1708732800000,50744.15000000,54910.00000000,50585.00000000,54476.47000000,86538.77468000,1708991999999,4525147581.00292600,3587916,45205.16850000,2364563926.21572890,0
1708992000000,54476.48000000,64000.00000000,54450.13000000,61130.98000000,264383.53149000,1709251199999,15830743980.98675140,9478752,136499.96752000,8170421554.32530180,0
1709251200000,61130.99000000,63231.88000000,60777.00000000,63113.97000000,102267.58035000,1709510399999,6343640624.74446870,5581263,51792.26573000,3213223179.91707170,0
1709510400000,63113.97000000,69000.00000000,59005.00000000,66074.04000000,296270.79626000,1709769599999,19441147164.96566950,12501540,151655.25762000,9956484757.53633240,0
1709769600000,66074.04000000,69990.00000000,65551.00000000,68313.27000000,147194.71717200,1710028799999,9948447400.58196141,6717495,75652.76960100,5113922737.51353259,0
1710028800000,68313.28000000,73000.00000000,67024.96000000,71452.01000000,182481.04076700,1710287999999,12921679857.27272097,8230822,93141.86743200,6597309473.68822464,0
1710288000000,71452.00000000,73777.00000000,65600.00000000,69499.85000000,227751.37585300,1710547199999,16027234268.22253619,9400511,112308.49571300,7909958388.79964369,0
1710547200000,69499.84000000,70043.00000000,64533.00000000,67609.99000000,161360.25013000,1710806399999,10879785749.54628690,7642690,81098.16548000,5469537696.73417990,0
1710806400000,67610.00000000,68240.47000000,60775.00000000,65501.27000000,244783.39081000,1711065599999,15805799143.56239280,9532015,120379.22501000,7777314797.05508960,0
1711065600000,65501.28000000,67628.69000000,62260.00000000,67209.99000000,109288.27245000,1711324799999,7075947099.38794600,6127221,54017.54397000,3500653636.86541410,0
1711324800000,67210.00000000,71769.54000000,66385.06000000,69469.99000000,141484.88588000,1711583999999,9844960001.09043590,7262393,72216.77905000,5024648296.61305360,0
1711584000000,69469.99000000,71552.06000000,68903.62000000,69582.18000000,74528.72734000,1711843199999,5234735605.01065580,4432992,36270.25540000,2548328573.12681740,0
1711843200000,69582.17000000,71366.00000000,64550.00000000,65463.99000000,132641.49265000,1712102399999,8994040894.64919350,5737774,65873.80413000,4466264926.03206170,0
1712102400000,65463.99000000,69309.91000000,64493.07000000,67820.62000000,119312.93304000,1712361599999,7981484981.94432330,6075021,60521.89373000,4049283705.96669890,0
1712361600000,67820.63000000,72797.99000000,67447.83000000,71620.00000000,87392.90976000,1712620799999,6140198650.61333840,4477533,46433.67297000,3266917532.45428570,0
1712620800000,71620.00000000,71758.19000000,67518.00000000,70006.23000000,113217.18214000,1712879999999,7898045667.07416960,5315322,55074.37689000,3843138579.70562750,0
1712880000000,70006.22000000,71227.46000000,60660.57000000,65661.84000000,189067.26066000,1713139199999,12404145047.82735490,8495910,88889.83048000,5827501653.36068070,0
1713139200000,65661.85000000,66867.07000000,59678.16000000,61277.37000000,156435.36909000,1713398399999,9882035677.48199020,7601729,75594.69319000,4776617365.94882420,0
1713398400000,61277.38000000,65450.00000000,59600.01000000,64940.59000000,136513.34164000,1713657599999,8633584265.50956870,6347507,67623.55361000,4278914377.47704010,0
1713657600000,64940.58000000,67232.35000000,64237.50000000,66414.00000000,73314.31527000,1713916799999,4828227031.84961030,4640659,37054.94666000,2440061955.46451800,0
1713916800000,66414.00000000,67070.43000000,62794.00000000,63770.01000000,92022.35321000,1714175999999,5940050288.27366750,4185782,45278.37575000,2923200007.89320680,0
1714176000000,63770.00000000,64370.00000000,61765.53000000,63866.00000000,66032.49004000,1714435199999,4163826048.94406680,2855370,31831.88573000,2007047999.08879000,0
1714435200000,63866.00000000,64734.00000000,56552.82000000,59060.61000000,183697.94319000,1714694399999,10856555134.22303130,5959658,87829.74361000,5189974905.05544650,0
1714694400000,59060.60000000,64646.00000000,58811.32000000,64012.00000000,86523.84454000,1714953599999,5388234645.75510220,3665091,43771.58372000,2726239648.14148170,0
1714953600000,64012.00000000,65500.00000000,60888.00000000,61193.03000000,86394.90425000,1715212799999,5466223871.18402830,4080607,42351.52491000,2680628884.04270560,0
1715212800000,61193.03000000,63469.13000000,60187.12000000,60825.99000000,80564.71571000,1715471999999,4966328394.64465650,3635881,39409.94200000,2431099490.17385760,0
1715472000000,60825.99000000,63450.00000000,60610.00000000,61577.49000000,74575.27116000,1715731199999,4623110135.24086360,3226485,36950.63414000,2291281400.45834060,0
1715731200000,61577.49000000,67451.20000000,61319.47000000,67024.00000000,100958.34838000,1715990399999,6585739101.06517680,4116501,50744.04882000,3310873359.70911540,0
1715990400000,67024.00000000,71515.56000000,65857.25000000,71446.62000000,83283.26293000,1716249599999,5657609931.31269440,3488735,42395.83925000,2883584101.46615950,0
1716249600000,71446.62000000,71979.00000000,66312.16000000,67969.65000000,117793.78760000,1716508799999,8207836842.32542460,5337276,57602.21761000,4014678038.82056360,0
1716508800000,67969.66000000,69610.00000000,66600.12000000,68507.67000000,52098.34879000,1716767999999,3562693364.69038710,2592559,26130.87963000,1786823295.91134730,0
1716768000000,68507.67000000,70687.56000000,67124.65000000,67652.42000000,78919.72928000,1717027199999,5402677645.28502390,3899736,39001.27904000,2670021119.93917230,0
1717027200000,67652.41000000,69500.00000000,66670.00000000,67766.85000000,64006.20157000,1717286399999,4355965341.76446780,3089195,31567.73882000,2148761505.69785320,0
1717286400000,67766.84000000,71063.45000000,67257.47000000,70537.84000000,74679.48418000,1717545599999,5164486878.60300710,3320652,37991.87386000,2627864867.10807620,0
1717545600000,70537.83000000,71997.02000000,68420.00000000,69355.60000000,86143.63576000,1717804799999,6098792016.35491440,3471756,41816.40553000,2961714040.36591350,0
1717804800000,69355.60000000,70195.94000000,69130.24000000,69540.00000000,36787.06617000,1718063999999,2558078596.57271810,2226417,18067.92578000,1256497066.75770020,0
1718064000000,69540.00000000,69999.00000000,66051.00000000,66773.01000000,107690.89515000,1718323199999,7302982120.57078800,4971362,52701.85408000,3574938434.33935500,0
1718323200000,66773.01000000,67370.24000000,65078.00000000,66676.87000000,49252.51262000,1718582399999,3267281115.07047960,3140495,23864.48110000,1583444971.23116220,0
