timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1720569600000,58050.00000000,59470.00000000,57309.09000000,58492.00000000,12871.15283000,1720612799999,754280412.24473460,885196,6447.44440000,377910673.89987880,0
1720612800000,58492.00000000,58550.00000000,57157.79000000,57725.85000000,12080.58516000,1720655999999,698013083.40541420,881500,5976.08722000,345298883.74979670,0
1720656000000,57725.85000000,58936.52000000,57050.00000000,58777.99000000,11721.18207000,1720699199999,680016739.25885030,908436,6156.32585000,357362803.31442190,0
1720699200000,58777.99000000,59650.00000000,57150.00000000,57339.89000000,18039.87528000,1720742399999,1048912878.79953410,1249225,8862.97550000,515623873.80510540,0
1720742400000,57339.89000000,57571.86000000,56542.47000000,57203.54000000,9807.34876000,1720785599999,559820353.66143190,758408,4595.09860000,262357878.40470170,0
1720785600000,57203.54000000,58526.68000000,57000.00000000,57889.10000000,13845.10814000,1720828799999,800380965.41471850,991330,6893.72685000,398670857.25972950,0
1720828800000,57889.09000000,58854.98000000,57756.63000000,58534.00000000,6144.18804000,1720871999999,357407118.33797800,453568,3265.01026000,189894014.03191610,0
1720872000000,58534.00000000,59850.00000000,58288.19000000,59204.02000000,9213.55715000,1720915199999,543022162.81025470,660823,4624.35218000,272706753.82916150,0
1720915200000,59204.01000000,60400.00000000,59194.01000000,60099.10000000,10955.87372000,1720958399999,656264064.95993910,793442,5448.16413000,326333507.39147930,0
1720958400000,60099.10000000,61420.69000000,59466.67000000,60797.91000000,10222.46535000,1721001599999,617298923.65123700,662646,5031.29612000,303966635.86836700,0
1721001600000,60797.91000000,63243.71000000,60632.30000000,62454.00000000,17370.74511000,1721044799999,1082439856.51924550,1215233,8473.32991000,528008939.27856950,0
1721044800000,62454.00000000,64900.00000000,62444.67000000,64724.14000000,21320.23309000,1721087999999,1353101022.50968790,1385192,10603.21221000,673402844.38803440,0
1721088000000,64724.06000000,64993.95000000,62373.24000000,63746.11000000,20652.46846000,1721131199999,1315061541.55978360,1186765,10392.15933000,661957863.32508800,0
1721131200000,63746.11000000,65388.97000000,63063.83000000,65043.99000000,21878.06069000,1721174399999,1410170427.72866720,1298018,11202.88866000,722380070.00591470,0
1721174400000,65044.00000000,66128.63000000,64560.00000000,64723.73000000,14873.49164000,1721217599999,973416605.93933160,884780,7513.60285000,491808441.32206170,0
1721217600000,64723.73000000,65400.00000000,63854.00000000,64087.99000000,14694.03790000,1721260799999,948995667.14887790,983891,7102.56728000,458917424.26359910,0
1721260800000,64087.99000000,65133.30000000,63910.00000000,64758.00000000,9416.30515000,1721303999999,608892459.84542280,673523,4464.55876000,288788115.57639720,0
1721304000000,64758.00000000,65111.29000000,63238.48000000,63987.92000000,13152.41735000,1721347199999,840979977.80437450,1023219,6823.79315000,436285507.12927680,0
1721347200000,63987.92000000,64486.00000000,63300.67000000,64116.00000000,10674.14067000,1721390399999,682223283.90926470,756403,4740.78268000,303059084.77494010,0
1721390400000,64115.99000000,67386.00000000,64005.57000000,66660.00000000,24960.58672000,1721433599999,1649294390.45939450,1428486,13230.28681000,873694196.26338600,0
1721433600000,66660.01000000,66822.22000000,66222.46000000,66483.69000000,6019.11543000,1721476799999,400658934.91138910,400045,2697.25619000,179561416.74212280,0
1721476800000,66483.69000000,67598.00000000,66273.62000000,67139.96000000,8367.80891000,1721519999999,561219866.93683200,595048,4171.37835000,279752538.51136630,0
1721520000000,67139.97000000,67436.22000000,66592.10000000,66879.99000000,4766.87965000,1721563199999,319286691.56387390,352576,2295.87817000,153791450.91610330,0
1721563200000,66879.99000000,68366.66000000,65777.00000000,68165.34000000,17052.23226000,1721606399999,1146471176.41086940,970366,9116.17642000,613065540.92643440,0
1721606400000,68165.35000000,68474.55000000,66944.10000000,67516.01000000,8352.28221000,1721649599999,564957674.63109130,614486,3825.23730000,258792196.50248870,0
1721649600000,67516.01000000,68256.00000000,66559.97000000,67532.01000000,13098.76082000,1721692799999,883460695.21561840,943654,6438.71310000,434271794.61661810,0
1721692800000,67532.00000000,67750.98000000,66256.39000000,66676.01000000,12572.64894000,1721735999999,841054166.08061890,717129,5943.03879000,397563206.14041370,0
1721736000000,66676.00000000,67349.03000000,65441.08000000,65936.01000000,18833.50422000,1721779199999,1247490307.24288880,1054960,9225.80919000,611231572.89857750,0
1721779200000,65936.00000000,66600.00000000,65476.84000000,66367.99000000,8148.55031000,1721822399999,538324488.30228450,449340,3976.58955000,262711809.42283210,0
1721822400000,66368.00000000,67102.01000000,65111.00000000,65376.00000000,14934.01246000,1721865599999,988166338.16471220,941713,6851.16596000,453372395.77880930,0
1721865600000,65376.01000000,65620.00000000,63800.00000000,64096.00000000,17479.68409000,1721908799999,1124539042.25600520,802924,7863.02294000,505834276.90968320,0
1721908800000,64096.01000000,66175.49000000,63456.70000000,65799.95000000,17646.74525000,1721951999999,1141880728.96885860,1027436,8716.42964000,564316602.45427160,0
