timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1735335000000,94697.55000000,94755.99000000,94379.35000000,94526.07000000,209.21727000,1735336799999,19782738.64121130,57302,71.86591000,6794644.55657170,0
1735336800000,94526.07000000,94625.99000000,94200.00000000,94500.22000000,270.37156000,1735338599999,25522944.24345750,58540,114.10035000,10772446.68577260,0
1735338600000,94500.21000000,94674.50000000,94392.41000000,94437.75000000,189.32358000,1735340399999,17899612.08158710,40240,74.26195000,7019523.10456500,0
1735340400000,94437.75000000,94526.09000000,94252.42000000,94366.77000000,249.92622000,1735342199999,23596674.47067870,67471,124.58135000,11761320.70733670,0
1735342200000,94366.78000000,94507.13000000,94100.60000000,94299.03000000,447.75798000,1735343999999,42210101.18374810,54973,146.42260000,13808087.00117580,0
1735344000000,94299.03000000,94544.35000000,94243.32000000,94458.81000000,270.19074000,1735345799999,25503169.46963270,79723,124.41108000,11742744.06132960,0
1735345800000,94458.80000000,94496.74000000,94314.50000000,94398.75000000,165.06008000,1735347599999,15580026.86685890,75519,79.82120000,7534295.89248110,0
1735347600000,94398.75000000,94446.78000000,94135.66000000,94261.95000000,180.00231000,1735349399999,16969320.44374400,72838,67.94958000,6405398.68765710,0
1735349400000,94261.96000000,94615.24000000,94150.01000000,94556.93000000,197.16940000,1735351199999,18618899.10964010,77613,101.57305000,9588994.31579530,0
1735351200000,94556.92000000,94619.00000000,94467.39000000,94525.07000000,160.25281000,1735352999999,15152904.35226560,43714,81.34130000,7691056.14397180,0
1735353000000,94525.07000000,94596.00000000,94276.01000000,94338.00000000,128.53487000,1735354799999,12136550.54428620,43924,41.81588000,3948487.27902790,0
1735354800000,94338.00000000,94629.47000000,94335.88000000,94608.36000000,124.87616000,1735356599999,11807688.38787730,40073,80.08751000,7573313.82346790,0
1735356600000,94608.36000000,94720.00000000,94517.50000000,94594.91000000,115.43968000,1735358399999,10922434.85347390,35744,53.55887000,5067581.40358740,0
1735358400000,94594.91000000,94643.87000000,94512.74000000,94608.56000000,126.65899000,1735360199999,11979384.37159610,33232,49.21120000,4654556.19592270,0
1735360200000,94608.56000000,94616.71000000,94511.71000000,94524.00000000,58.38275000,1735361999999,5521482.69070380,21714,23.57908000,2229970.02503080,0
1735362000000,94524.00000000,94751.36000000,94523.99000000,94685.60000000,123.95844000,1735363799999,11734093.69433950,35071,72.09008000,6824463.67491950,0
1735363800000,94685.59000000,94800.00000000,94610.54000000,94625.64000000,121.86016000,1735365599999,11540321.29568020,37683,60.00661000,5682462.26892790,0
1735365600000,94625.64000000,94724.88000000,94518.00000000,94538.50000000,170.38213000,1735367399999,16115998.14888660,45769,83.18197000,7868826.75614950,0
1735367400000,94538.49000000,94581.08000000,94405.28000000,94466.49000000,134.02901000,1735369199999,12660875.33221820,50017,75.32864000,7115563.00393070,0
1735369200000,94466.49000000,94634.25000000,94466.48000000,94555.99000000,103.93855000,1735370999999,9828481.92382410,38548,54.43119000,5147010.82166950,0
1735371000000,94555.99000000,94563.12000000,94307.00000000,94381.99000000,131.97400000,1735372799999,12458443.88486530,40424,74.28853000,7012457.34001710,0
1735372800000,94381.98000000,94487.10000000,94312.67000000,94408.63000000,100.84954000,1735374599999,9521189.90380350,40636,57.46716000,5425339.49291040,0
1735374600000,94408.63000000,94539.43000000,94381.29000000,94488.01000000,88.30700000,1735376399999,8342244.40172940,26661,49.01256000,4630016.09478720,0
1735376400000,94488.01000000,94687.34000000,94488.01000000,94598.04000000,166.79015000,1735378199999,15777399.25979190,30991,90.79333000,8587772.52896790,0
1735378200000,94598.03000000,94692.30000000,94589.27000000,94589.27000000,114.55712000,1735379999999,10842134.36635780,31352,52.87477000,5004249.92615160,0
1735380000000,94589.28000000,94702.42000000,94502.21000000,94689.78000000,133.70565000,1735381799999,12650765.01955300,41846,66.06665000,6251129.52008890,0
1735381800000,94689.78000000,94716.06000000,94566.68000000,94619.99000000,142.83449000,1735383599999,13519282.63073310,40371,57.33442000,5427030.57744730,0
1735383600000,94620.00000000,94739.97000000,94600.00000000,94739.96000000,146.62908000,1735385399999,13881053.97119120,40601,74.08119000,7013119.97434310,0
1735385400000,94739.96000000,94883.00000000,94640.01000000,94754.83000000,170.00456000,1735387199999,16105751.83438500,46933,75.56982000,7160295.16646260,0
1735387200000,94754.83000000,94880.00000000,94625.00000000,94649.99000000,154.94482000,1735388999999,14681270.10507140,59643,71.48708000,6774060.71789160,0
1735389000000,94649.99000000,94739.09000000,94577.66000000,94599.57000000,139.30653000,1735390799999,13187087.57867040,39999,66.26151000,6273186.83393300,0
1735390800000,94599.56000000,94761.33000000,94529.87000000,94690.59000000,177.76726000,1735392599999,16829038.10394590,53504,95.07523000,9000759.69402620,0
1735392600000,94690.59000000,94754.48000000,94496.73000000,94665.94000000,216.46750000,1735394399999,20484269.61069840,61343,107.26831000,10151892.17801310,0
1735394400000,94665.29000000,95340.36000000,94584.78000000,94900.00000000,537.26546000,1735396199999,51069526.38497280,133863,317.52786000,30185806.25630410,0
