timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1735933320000,98710.37000000,98792.00000000,98710.37000000,98791.99000000,10.07647000,1735933379999,994881.89065210,2400,9.54698000,942603.52543330,0
1735933380000,98792.00000000,98792.00000000,98719.65000000,98738.48000000,8.16439000,1735933439999,806235.99138090,2434,4.01616000,396585.23954670,0
1735933440000,98738.48000000,98756.03000000,98698.23000000,98698.23000000,9.21729000,1735933499999,909970.00665380,2823,5.13540000,506968.59482660,0
1735933500000,98697.39000000,98697.39000000,98598.10000000,98638.53000000,17.31908000,1735933559999,1708221.02499520,3769,11.29879000,1114342.91085060,0
1735933560000,98638.53000000,98688.95000000,98638.53000000,98659.05000000,4.57579000,1735933619999,451489.90450910,2131,1.91590000,189024.46006280,0
1735933620000,98659.05000000,98659.05000000,98564.31000000,98580.15000000,11.46513000,1735933679999,1130761.77399950,3585,3.10472000,306138.31068350,0
1735933680000,98580.15000000,98638.85000000,98580.15000000,98634.31000000,9.10575000,1735933739999,897818.34010900,1990,2.53563000,250053.47449030,0
1735933740000,98634.31000000,98690.00000000,98634.31000000,98660.76000000,10.38816000,1735933799999,1025028.47529240,2526,3.30125000,325686.91706460,0
1735933800000,98660.77000000,98679.02000000,98644.19000000,98679.01000000,7.11677000,1735933859999,702114.48757640,1336,4.51072000,444976.46456650,0
1735933860000,98679.02000000,98690.00000000,98602.63000000,98605.71000000,23.25982000,1735933919999,2294514.92579740,3664,12.98915000,1281395.85883730,0
1735933920000,98605.71000000,98625.73000000,98605.71000000,98613.15000000,4.64312000,1735933979999,457903.68494710,985,1.91566000,188925.45594650,0
1735933980000,98612.87000000,98612.87000000,98554.30000000,98559.99000000,13.23258000,1735934039999,1304440.29463610,3662,3.52176000,347109.04838600,0
1735934040000,98559.99000000,98604.88000000,98559.98000000,98560.44000000,4.76050000,1735934099999,469287.60156780,1944,1.67300000,164919.65449940,0
1735934100000,98560.44000000,98626.89000000,98560.44000000,98571.91000000,10.33441000,1735934159999,1018913.79078260,3563,4.27975000,421915.05570060,0
1735934160000,98571.92000000,98600.00000000,98571.91000000,98600.00000000,3.80984000,1735934219999,375562.57307580,777,1.48756000,146641.98628450,0
